Escenario,Delta_gamma,Utilidad_media,Tiempo_medio,DemandaInsatisfecha_media,ProporcionInsatisfecha_media
DeltaGamma_0,0.0,14311637598.205923,0.3584931468963623,48797.675653878425,0.13133674754121866
DeltaGamma_10,10.0,14332913404.820362,0.29528000831604007,49008.70841777278,0.13183669480439084
DeltaGamma_20,20.0,14369346984.087008,0.34991405963897704,51214.05363716636,0.13647770300735185
DeltaGamma_50,50.0,14225300744.42639,0.3157998704910278,50715.431781796775,0.13652530746535987
DeltaGamma_100,100.0,14425930505.970936,0.322939977645874,49150.82269184271,0.1316774461067225
