Escenario,Delta_B1,Utilidad_media,Tiempo_medio,DemandaInsatisfecha_media,ProporcionInsatisfecha_media
DeltaB1_-5e-04,-0.0005,14289625918.272717,0.37407986164093016,50279.93341655646,0.13498253656038098
DeltaB1_-5e-02,-0.05,14293666761.960648,0.41522022724151614,49545.625,0.1330919211942808
DeltaB1_5e-03,0.005,14289777489.624763,0.37892004489898684,50387.85395841675,0.1356643910586618
DeltaB1_5e-02,0.05,14305153064.628742,0.37574018478393556,50631.757618753974,0.13625318875785544
DeltaB1_5e-01,0.5,14348366425.372055,0.4178798246383667,48996.5968419788,0.131862384827484
DeltaB1_5e+00,5.0,14378469519.699718,0.4136799716949463,49230.90181190061,0.1323711065728893
