Escenario,Delta_B2,Utilidad_media,Tiempo_medio,DemandaInsatisfecha_media,ProporcionInsatisfecha_media
DeltaB2_0e+00,0.0,14163501127.009462,0.3966841411590576,49097.71306400859,0.1332974439820901
DeltaB2_1e-08,1e-08,14390632969.541172,0.38110008716583255,49304.703388665315,0.13245615629175872
DeltaB2_5e-08,5e-08,14464947666.996637,0.4229924249649048,49090.52170995878,0.1309979371374844
DeltaB2_1e-07,1e-07,14303810134.758806,0.37838021278381345,49796.140421184384,0.13395272708472972
DeltaB2_-1e-08,-1e-08,14331089878.921354,0.3365399980545044,49526.219999877474,0.13288719812396077
DeltaB2_-5e-08,-5e-08,14360429019.364128,0.33166014671325683,49461.79339319763,0.13252390304906586
